No.	ID	Banco	Producto	Concepto	Tipo de comisión (usual (U) o eventual E)	Tasa	Min	Max	ME-Tasa Max.	ME-Tasa Min.	ME-Min	ME-Max	Observaciones	Web Banco	Web Tarifario	Contacto
1	Bancomercio	Banco de Comercio	1.1 Transferencias recibidas	Comisión por emisión y/o recepción	U	0.0000000000000000	17.5000000000000000	300.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Hasta $ 15,000: 0% min $ 17.50 / De $ 15,000.01 a $ 50,000: 0.125% / De $ 50,000.01 a $ 500,000: 0.0625% min $ 62.50 max $ 150 / De $ 500,000 a más: 0.03125% max $ 300	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
2	Bancomercio	Banco de Comercio	1.1 Transferencias recibidas	Swift	U	0.0000000000000000	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	-	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
3	Bancomercio	Banco de Comercio	1.1 Transferencias recibidas	Devolución	E	0.0000000000000000	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	-	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
4	BCP	Banco de Crédito del Perú	1.1 Transferencias recibidas	Con Abono en Cuenta	U	0.0000000000000000	0.0000000000000000	18.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Por operación. Del BCI Chile $ 11 / De otros bancos $20. En caso de Pago en Billetes M.E., la tasa es 0.5% min $20 y max $ 100	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/Transferencias_ok.PDF	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3456 | Calle Las Camelias 750 piso 9, San Isidro
5	Financiero	Banco Financiero	1.1 Transferencias recibidas	Comisión por operación	U	0.0000000000000000	20.0000000000000000	50.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	No se cobra si son operaciones entre Banco Financiero Perú y Banco Pichincha	http://www.financiero.com.pe/	http://www.financiero.com.pe/Docs//TARIFARIOGENERAL_250315.pdf	Fabrizio Vásquez y/o Sergio Urquiaga - Funcionario | fvasquez@financiero.com.pe / surquiaga@financiero.com.pe | (511) 612-2000 Ext. 3629/3795 | Av. Jorge Basadre 310 Piso 3 - San Isidro, Lima 27
6	GNB	Banco GNB	1.1 Transferencias recibidas	Comisión por operación	U	0.0000000000000000	15.0000000000000000	250.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Sobre el importe transferido por cada operación	http://www.bancognb.com.pe/	http://www.bancognb.com.pe/main/download?file=peru%2Fbanca_empresa%2Fservicios_cash_management%2Ftransferencias_exterior%2Ftarifario_transferencias_con_el_exterior_agencia_02_06_14.pdf	Martha Manrique y/o Jaquelinne Heraud - Funcionario | martha.manrique@bancognb.com.pe / jaquelinne.heraud@bancognb.com.pe | (511) 616-4722 | Av. Rivera Navarrete 501, piso 3 - Lima
7	GNB	Banco GNB	1.1 Transferencias recibidas	Comisión por devolución	E	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	$20.00 eq. S/. 60.00	http://www.bancognb.com.pe/	http://www.bancognb.com.pe/main/download?file=peru%2Fbanca_empresa%2Fservicios_cash_management%2Ftransferencias_exterior%2Ftarifario_transferencias_con_el_exterior_agencia_02_06_14.pdf	Martha Manrique y/o Jaquelinne Heraud - Funcionario | martha.manrique@bancognb.com.pe / jaquelinne.heraud@bancognb.com.pe | (511) 616-4722 | Av. Rivera Navarrete 501, piso 3 - Lima
8	GNB	Banco GNB	1.1 Transferencias recibidas	Comisión por investigación	E	0.0000000000000000	50.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	-	http://www.bancognb.com.pe/	http://www.bancognb.com.pe/main/download?file=peru%2Fbanca_empresa%2Fservicios_cash_management%2Ftransferencias_exterior%2Ftarifario_transferencias_con_el_exterior_agencia_02_06_14.pdf	Martha Manrique y/o Jaquelinne Heraud - Funcionario | martha.manrique@bancognb.com.pe / jaquelinne.heraud@bancognb.com.pe | (511) 616-4722 | Av. Rivera Navarrete 501, piso 3 - Lima
9	BanBif	Banco Interamericano de Finanzas	1.1 Transferencias recibidas	Comisión por trasferencia del exterior	U	0.0000000000000000	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Se cobra a la recepción de los fondos	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_trans_giros.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
10	BanBif	Banco Interamericano de Finanzas	1.1 Transferencias recibidas	Investigaciones a solicitud del banco del ordenante	E	0.0000000000000000	0.0000000000000000	10.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Se cobra culminando el trámite	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_otros.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
11	BanBif	Banco Interamericano de Finanzas	1.1 Transferencias recibidas	Reparación de transferencia	E	0.0000000000000000	0.0000000000000000	5.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Se cobra al abonar en cuenta	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_otros.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
12	Santander	Banco Santander	1.1 Transferencias recibidas	Comisión de registro abono en cuenta (cliente)	U	0.0000000000000000	25.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
13	Santander	Banco Santander	1.1 Transferencias recibidas	Comisión de investigación + gastos del corresponsal	E	0.0000000000000000	25.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
14	BBVA	BBVA Banco Continental	1.1 Transferencias recibidas	Por Ordenes de Pago Recibidas del Exterior (promedio)	U	0.0000000000000000	22.0000000000000000	500.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Pago con abono en Cuenta Corriente o Ahorros min $ 22 / Pago a través de ventanilla o Transferencia a bancos locales 1% (min $ 22 - max $ 500) + Tarifa de Bancos Corresponsales	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/ordenes_pago_del_exterior_PPJJ_2014_tcm1105-430194.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
16	Interbank	Interbank	1.1 Transferencias recibidas	Comisión por procesamiento	U	0.0000000000000000	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Cliente (abono en cuenta)	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Giros_y_Transferencias_internacionales+PN_19082014.pdf/f19224ec-9301-4588-8f47-2991641afe43	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
17	Interbank	Interbank	1.1 Transferencias recibidas	Comisión por investigaciones (Comisión cobrada por el banco al realizar investigaciones)	E	0.0000000000000000	0.0000000000000000	5.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	A la recepción de la solicitud de investigación.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Giros_y_Transferencias_internacionales+PN_19082014.pdf/f19224ec-9301-4588-8f47-2991641afe44	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
18	Interbank	Interbank	1.1 Transferencias recibidas	Gasto por investigaciones (Gasto del banco corresponsal por investigaciones)	E	0.0000000000000000	25.0000000000000000	100.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Al Finalizar la solicitud de investigación.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Giros_y_Transferencias_internacionales+PN_19082014.pdf/f19224ec-9301-4588-8f47-2991641afe45	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
19	Scotiabank	Scotiabank	1.1 Transferencias recibidas	Comisión para clientes y no clientes	U	0.0000000000000000	17.7777777777778000	100.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Min Equiv S/. 48 - Max Equiv S/.270 por trámite. Se aplica sobre el monto de la Transferencia. TC. 2.70	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/cash-management/110.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
20	Scotiabank	Scotiabank	1.1 Transferencias recibidas	Comisión Portes (Envío de Documentación al cliente)	U	0.0000000000000000	0.0000000000000000	2.4074074074074100	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Equiv S/. 6.50 por trámite. Se aplica con la Comisión de Transferencia. TC. 2.70	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/cash-management/110.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
21	Scotiabank	Scotiabank	1.1 Transferencias recibidas	Gasto del Banco Corresponsal (OUR)	U	0.0000000000000000	0.0000000000000000	22.2222222222222000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Equiv S/. 60. TC. 2.70	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/cash-management/110.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
22	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	Por Registro de Cobranza Simple - Cheques al Cobro	U	0.0000000000000000	57.5000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Cheques sobre USA $65 y otras plazas $50 - Por cheque	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3457 | Calle Las Camelias 750 piso 9, San Isidro
23	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	Mensaje telex/Llamada telefónica (a solicitud del beneficiario del Cheque)	E	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Por llamada	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3458 | Calle Las Camelias 750 piso 9, San Isidro
24	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	Mensaje swift	U	0.0000000000000000	20.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	0.0000000000000000	Por mensaje	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3459 | Calle Las Camelias 750 piso 9, San Isidro
